Variant,EaseOfUse,LikelyToUse,Clarity,Recommend
Checklist,4,5,5,Y
Checklist,5,4,5,N
Checklist,5,5,5,Y
Checklist,4,5,5,Y
Checklist,4,4,5,Y
Checklist,5,4,4,Y
Checklist,3,4,5,Y
Checklist,4,4,4,Y
Checklist,5,5,5,Y
Checklist,4,4,4,Y
Checklist,4,5,4,Y
Checklist,4,4,5,N
Checklist,5,4,4,Y
Checklist,4,5,5,Y
Checklist,4,4,5,Y
Checklist,4,5,5,Y
Checklist,5,4,5,Y
Checklist,5,3,4,Y
Checklist,5,5,4,Y
Checklist,5,4,5,Y
Checklist,5,5,5,Y
Checklist,5,3,5,N
Checklist,4,5,5,Y
Checklist,5,5,4,N
Checklist,4,4,4,Y
Checklist,4,4,3,Y
Checklist,5,4,4,Y
Checklist,4,3,4,Y
Checklist,4,5,4,N
Checklist,4,3,5,Y
Checklist,4,4,5,Y
Checklist,3,5,5,Y
Checklist,4,4,5,Y
Checklist,4,5,5,N
Checklist,5,5,5,Y
Checklist,4,4,3,N
Checklist,5,3,4,Y
Checklist,5,4,5,N
Checklist,4,5,4,Y
Checklist,5,3,4,Y
Calendar,3,3,4,Y
Calendar,2,3,3,Y
Calendar,3,3,5,Y
Calendar,4,4,4,N
Calendar,4,4,3,Y
Calendar,3,3,3,Y
Calendar,5,4,3,N
Calendar,4,4,3,N
Calendar,4,4,3,Y
Calendar,5,3,3,N
Calendar,3,2,4,Y
Calendar,3,2,4,Y
Calendar,5,3,3,Y
Calendar,3,3,2,Y
Calendar,4,4,3,N
Calendar,4,3,4,N
Calendar,4,3,4,N
Calendar,5,5,4,N
Calendar,5,4,3,Y
Calendar,4,3,3,Y
Calendar,3,3,2,Y
Calendar,4,3,3,Y
Calendar,4,4,3,Y
Calendar,3,3,3,Y
Calendar,4,4,4,N
Calendar,4,3,2,Y
Calendar,4,4,3,N
Calendar,3,4,2,Y
Calendar,3,3,2,N
Calendar,4,3,3,Y
Calendar,4,3,2,Y
Calendar,3,3,4,N
Calendar,4,2,3,N
Calendar,3,2,3,Y
Calendar,2,2,4,Y
Calendar,4,3,3,N
Calendar,3,4,4,N
Calendar,3,3,3,N
Calendar,3,4,4,Y
Calendar,2,3,3,N
